cage_id	id	rt	exp_time	state	days
5	4	37.95	2018-10-10	HA	28
6	0	38	2018-10-10	CR	28
6	1	37.66	2018-10-10	CR	28
6	2	38.23	2018-10-10	CR	28
6	3	38.73	2018-10-10	CR	28
6	4	37.98	2018-10-10	CR	28
7	0	37.13	2018-10-10	CR	28
7	1	38.1	2018-10-10	CR	28
7	2	38.41	2018-10-10	CR	28
7	3	37.49	2018-10-10	CR	28
7	4	37.59	2018-10-10	CR	28
8	0	38.32	2018-10-10	CR	28
8	1	38.48	2018-10-10	CR	28
8	2	38.27	2018-10-10	CR	28
8	3	38.05	2018-10-10	CR	28
8	4	37.8	2018-10-10	CR	28
