Treatment	CR	CR	CR	CR	CR	CR	CR	CR	HA	HA	HA	HA	HA	HA	HA	HA
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]	2.139228e-04	2.376800e-03	1.270140e-03	2.162630e-04	1.094112e-04	0.000000e+00	0.000000e+00	1.602102e-05	3.718025e-05	5.158674e-04	3.807928e-05	2.368028e-04	0.000000e+00	9.356813e-05	9.393729e-05	2.679337e-04
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]	0.06567430	0.05410212	0.16071615	0.07537596	0.01642991	0.05007624	0.02490974	0.01241629	0.02496654	0.03315782	0.04249648	0.06971110	0.06491532	0.03729626	0.02947752	0.07364604
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.82156e-05	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	0.000000e+00	3.419856e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.000000e+00	0.000000e+00	1.739917e-05	0.000000e+00	0.000000e+00	1.732742e-05	3.628513e-05	0.000000e+00	3.718025e-05	0.000000e+00	0.000000e+00	0.000000e+00	1.924557e-05	9.356813e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.009145200	0.009626894	0.014197724	0.012692973	0.005197031	0.004089271	0.106279141	0.024768496	0.138329120	0.031788103	0.081261186	0.124594703	0.250731332	0.056178303	0.031675653	0.058695342
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.0005348070	0.0016244314	0.0002783867	0.0001996274	0.0002188224	0.0014555032	0.0001269979	0.0038130027	0.0027141582	0.0001956738	0.0001332775	0.0002732340	0.0002117013	0.0007298314	0.0006387736	0.0001607602
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae	2.317497e-04	6.839711e-05	3.305843e-04	3.327123e-05	0.000000e+00	3.465484e-05	6.894174e-04	1.602102e-05	2.602617e-04	5.336559e-05	3.807928e-05	1.821560e-05	9.622787e-05	7.485450e-05	0.000000e+00	0.000000e+00
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae	0.000000e+00	1.265347e-03	1.739917e-05	5.988821e-04	2.005872e-04	4.158581e-04	5.442769e-05	3.204204e-05	3.718025e-04	1.138466e-03	8.187045e-04	4.918212e-04	7.890685e-04	7.485450e-04	3.381742e-04	3.572449e-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.123148231	0.011336822	0.027786477	0.010064546	0.003245865	0.015005545	0.053466137	0.001586081	0.032216686	0.006990892	0.028426183	0.008415607	0.020862202	0.031251754	0.007590133	0.009466991
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0004275729	0.0000000000	0.0001142378	0.0000000000	0.0000000000	0.0002619908	0.0000000000	0.0000000000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.27161066	0.36484730	0.35337718	0.24745475	0.17496672	0.27309745	0.24392678	0.74637124	0.13226874	0.37090864	0.20608507	0.20416044	0.06177829	0.15515467	0.21092679	0.26727279
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	3.921918e-04	2.103211e-03	2.174896e-03	6.837237e-03	3.282336e-04	6.930968e-05	2.521816e-03	1.602102e-05	6.097561e-03	7.826953e-04	4.817029e-03	3.224161e-03	1.025789e-02	1.792765e-02	2.536307e-03	3.036582e-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	3.226669e-03	1.196949e-04	3.131851e-04	6.654245e-05	7.294079e-05	5.198226e-05	3.447087e-04	0.000000e+00	3.160321e-04	1.778853e-05	1.142378e-04	0.000000e+00	0.000000e+00	3.742725e-05	3.757491e-05	1.250357e-04
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.06453338	0.12928764	0.09644361	0.10691709	0.10601944	0.06480455	0.10568044	0.03664007	0.22140839	0.07076277	0.25309394	0.11574192	0.16503079	0.16565301	0.20049975	0.06968062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae	0.056564756	0.007079101	0.001652921	0.002062816	0.107934134	0.319327003	0.061884287	0.006856996	0.017363177	0.176248755	0.006340200	0.002422675	0.002386451	0.004715834	0.007759220	0.066947699
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Mogibacteriaceae]	0.0035653802	0.0009575596	0.0015833246	0.0015970189	0.0015682270	0.0014728306	0.0045537836	0.0038770867	0.0057629387	0.0045182866	0.0060165264	0.0039527852	0.0021555042	0.0018900762	0.0026866064	0.0019648471
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae	0.009697834	0.019647071	0.007481644	0.005473117	0.005342913	0.008213197	0.012627225	0.009164023	0.006078971	0.011224562	0.000951982	0.001748698	0.003233256	0.001440949	0.001991470	0.004054730
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.814256e-05	0.000000e+00	2.658388e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.786225e-05
