Sample,pos_H_1_4,pos_H_2_0,pos_H_3_1,pos_H_3_2,pos_H_4_0,pos_H_4_3,pos_H_5_1,pos_H_5_2,pos_H_5_3,pos_H_5_4,pos_C_6_0,pos_C_6_2,pos_C_6_3,pos_C_7_0,pos_C_7_2,pos_C_7_3,pos_C_7_4,pos_C_8_0,pos_C_8_2,pos_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_16988_pos,15470.8367609,89772.9164644,58205.8503141,75468.7232925,81762.1491967,86443.6570994,50099.6195478,32437.7284921,48807.2050683,106635.983115,66106.4787625,38325.5430286,43491.147093,62609.6223995,80125.3865361,52312.930433,122331.584073,81657.5191776,47314.550576,52168.1607185
Com_1698_pos,680697.069434,3488152.03077,2541331.62404,3182451.86284,1655648.29989,4595157.1995,1081998.94897,297083.918989,1192966.81188,343678.801145,414485.896581,907494.15571,1409052.82472,1254936.04263,2610029.09027,1544789.01143,530728.69689,4093829.13572,4197084.94269,4159791.192
Com_16992_pos,41671.3293141,27860.4510779,85624.7921807,66171.2750497,41735.6270817,47282.9228931,43992.9918947,52415.9177463,54005.7858778,39441.3434141,38241.7807382,104714.780683,47950.5760255,29666.7875376,96869.045239,60465.520011,55022.5907357,56183.9611416,58653.2724286,36088.51557
Com_17006_pos,113681.819376,64113.3420687,24622.4027686,26591.4155658,90881.2116442,27452.9743822,76868.9520939,55407.6617907,71899.6667374,46006.6134539,68484.2664249,55659.4166539,56352.602951,55212.9819601,66015.0547977,36523.7247724,42887.8812041,30081.8617931,44073.691225,37550.4245537
Com_1700_pos,2046709.55284,764604.271831,1728753.12904,1700027.31622,405301.291409,874715.192007,3903132.02689,1106046.15708,969657.32281,2615876.27928,643731.749819,1656078.37751,2093592.62095,1492461.02033,1035625.94031,3399424.99002,1301593.08881,565637.565796,2339483.27266,1960456.7489
Com_17030_pos,51887.4943313,63633.1651443,31243.8426149,87755.9158184,100718.183057,43699.4823119,102125.247648,57837.2721549,63202.8747761,29949.1137012,31820.5545472,36981.0109933,58289.3857577,50197.458599,54697.9840367,77320.7662136,27344.7944908,50830.3848437,61998.9670759,45754.6292612
Com_17031_pos,71674.9413653,77492.8823199,91894.9157672,65557.1024245,94274.9154255,90635.9650148,98920.8696343,66990.4069416,92128.5239983,84373.5683132,102406.07468,89243.9456186,56833.5133349,100172.255714,88659.809948,75989.4334566,94389.7632866,121719.293982,92075.1075194,87104.4573277
Com_17040_pos,9383.66133957,105360.788504,13781.2539843,8546.91220784,16607.1154902,26033.1092871,28729.3449999,14274.6619345,11760.2177139,23109.338945,11085.8098188,13309.530417,18305.5410172,15155.6444112,60031.3121719,29977.4319918,28479.2199365,21501.9267334,18437.2423859,19126.5606601
Com_17048_pos,32752.4828805,26156.7401252,24159.7275087,22495.4576553,30114.8196327,30866.0586388,101712.110692,49220.5675236,18940.347273,21362.4411414,28740.3457781,20371.2085413,15925.7144308,27812.4048445,26135.2340452,18551.5747431,25010.4514447,29512.931605,22943.0581519,21244.7868724
Com_17049_pos,67012.3671409,82382.1812106,95264.853986,92359.3918759,44506.7611959,119500.906007,22674.0695299,68724.7393135,96236.1063892,59054.4629185,63390.1168455,71051.59926,78934.7212053,31105.7935258,100295.729116,83777.0098364,54446.6380836,95945.1086461,83324.479379,95827.6571013
