Sample,neg_H_1_4,neg_H_2_0,neg_H_3_1,neg_H_3_2,neg_H_4_0,neg_H_4_3,neg_H_5_1,neg_H_5_2,neg_H_5_3,neg_H_5_4,neg_C_6_0,neg_C_6_2,neg_C_6_3,neg_C_7_0,neg_C_7_2,neg_C_7_3,neg_C_7_4,neg_C_8_0,neg_C_8_2,neg_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_10487_neg,13071.2624009,32130.08323,14495.6769298,11067.9525592,27254.4019048,13503.5286867,35829.5531273,19106.868422,33404.8386325,17325.2121343,27981.8654289,25379.6415773,22122.9669833,19568.3671806,26912.7062976,22289.2228513,18381.0963316,16086.9949058,21029.1549968,14034.4327253
Com_10493_neg,26278.8335139,11659.9435318,25252.7451652,13514.2721227,21234.5652127,13261.4465456,42084.686373,20885.525748,19214.6680795,17437.9131763,25099.1849951,24161.5544839,11139.3599789,15134.811517,16243.9418747,15951.2151822,16473.1610116,23987.79178,17823.3912657,20115.0601908
Com_104_neg,1110249.64934,31893675.4959,993448.191012,497192.311576,2296016.95786,252745.033822,1392800.99018,621473.227322,668465.61693,35314.3524121,1789680.08413,1850588.34768,1904428.25663,737699.513922,234224.632459,111762.527663,14306.4836325,166343.112189,958690.372211,613077.526994
Com_10505_neg,4625.51776006,10827.3839569,15052.3418295,21381.7443977,15270.443787,21207.6794426,11813.562593,5141.59978435,6582.45017736,36144.0455422,6665.16281136,5622.67977273,5427.86861217,16021.8608504,6017.45086141,8106.37817427,40527.1023342,21065.8515824,5869.42465015,11377.2537549
Com_10518_neg,13503.9315469,13281.2669195,18673.2478144,11107.8049029,17030.3358872,18855.9994213,20593.614853,11352.2164044,14835.438614,29787.2913844,14269.1883261,20606.8601176,18185.2770566,29887.517596,23022.9894437,32139.4221126,28674.1217376,17298.6736621,23697.8112451,21720.3477519
Com_10528_neg,29241.0258734,15582.3728215,19745.6183082,29550.3677164,44271.3219402,20892.7932134,32467.098752,26406.8269738,19633.266363,16009.6470342,18525.0140881,20711.7693509,29265.2310434,43712.9263693,15687.3201824,30151.1997364,22585.3653918,38433.1466877,22181.1371714,32941.5232188
Com_10543_neg,21958.3365896,24376.3904406,18916.8513526,18298.9577488,28276.0469659,3176.58848377,41486.6526757,24990.8002193,9102.58564005,27071.0662091,13045.7110408,17843.9378601,16502.4512199,6958.51956071,15302.0843857,11894.967604,23683.0239358,2784.0270821,3011.46740971,2493.78338897
Com_10549_neg,17339.7869997,31569.1520184,37418.8835576,25946.973461,25203.4980133,36723.286469,9237.40939578,12528.2391674,8681.66423701,31290.7774502,17481.288703,32252.9597767,22123.7158178,35058.6861789,40148.1760478,26189.6338064,39609.1565181,30699.8592564,9209.74918962,21546.0423112
Com_1054_neg,101450.441388,630231.920649,1804552.03458,851526.253517,934013.467121,333193.31226,25857.008532,297149.377379,305015.220848,1690814.72883,556983.618382,895135.794676,771953.105867,1323977.24374,1373942.69098,769917.675967,1742685.01899,255771.933732,362009.557368,1081530.12515
Com_10556_neg,17549.3291208,28931.0178206,29353.5558722,20974.4151023,21274.3020173,28154.3237735,29713.6527354,16140.3684885,26701.8646176,30256.6372172,19248.8025044,20672.0626719,16346.5972355,34523.8386877,34219.8425072,31737.2598559,38984.3672834,30844.8105171,37346.6764225,24034.9416409
