"","V","p.value","-log10(p)","FDR"
"Com_1380_pos",52,0.9118,0.040102,0.99065
"Com_13818_pos",65,0.27986,0.55306,0.73906
"Com_1381_pos",53,0.85343,0.068833,0.98294
"Com_13821_pos",56,0.68421,0.16481,0.92418
"Com_13832_pos",62,0.39305,0.40555,0.79969
"Com_13839_pos",47,0.85343,0.068833,0.98294
"Com_13846_pos",74,0.075256,1.1235,0.50326
"Com_1386_pos",22,0.035463,1.4502,0.41156
"Com_13873_pos",62,0.39305,0.40555,0.79969
"Com_13880_pos",75,0.063013,1.2006,0.4868
"Com_13897_pos",58,0.57874,0.23752,0.88784
"Com_13907_pos",45,0.73936,0.13114,0.94633
"Com_1390_pos",23,0.043257,1.3639,0.4356
"Com_13913_pos",34,0.24745,0.60651,0.71394
"Com_13925_pos",53,0.85343,0.068833,0.98294
"Com_13940_pos",32,0.19032,0.72052,0.68218
"Com_13942_pos",72,0.10512,0.9783,0.55409
"Com_1394_pos",56,0.68421,0.16481,0.92418
"Com_13968_pos",60,0.48125,0.31763,0.85132
"Com_13973_pos",57,0.63053,0.20029,0.91112
"Com_13979_pos",68,0.19032,0.72052,0.68218
"Com_13981_pos",61,0.43587,0.36064,0.83189
"Com_13991_pos",40,0.48125,0.31763,0.85132
"Com_13_pos",66,0.24745,0.60651,0.71394
"Com_1400_pos",38,0.39305,0.40555,0.79969
"Com_14020_pos",66,0.24745,0.60651,0.71394
"Com_14025_pos",49,0.97051,0.012999,0.99948
"Com_1403_pos",36,0.315,0.50169,0.76474
"Com_14040_pos",53,0.85343,0.068833,0.98294
"Com_14043_pos",64,0.315,0.50169,0.76474
"Com_14061_pos",81,0.018543,1.7318,0.3287
"Com_14095_pos",73,0.08921,1.0496,0.52234
"Com_14102_pos",59,0.52885,0.27667,0.86844
"Com_14116_pos",50,1,0,1
"Com_14132_pos",62,0.39305,0.40555,0.79969
"Com_14138_pos",44,0.68421,0.16481,0.92418
"Com_1413_pos",61,0.43587,0.36064,0.83189
"Com_14141_pos",38,0.39305,0.40555,0.79969
"Com_14145_pos",45,0.73936,0.13114,0.94633
"Com_14150_pos",74,0.075256,1.1235,0.50326
"Com_14162_pos",83,0.011496,1.9394,0.28886
"Com_14184_pos",51,0.97051,0.012999,0.99948
"Com_14186_pos",63,0.35268,0.45262,0.793
"Com_14215_pos",54,0.79594,0.099122,0.97073
"Com_14218_pos",50,1,0,1
"Com_14219_pos",56,0.68421,0.16481,0.92418
"Com_14221_pos",45,0.73936,0.13114,0.94633
"Com_14231_pos",36,0.315,0.50169,0.76474
"Com_1423_pos",84,0.0089307,2.0491,0.28886
"Com_14241_pos",74,0.075256,1.1235,0.50326
"Com_14242_pos",29,0.12301,0.91008,0.59614
"Com_1425_pos",93,0.00048713,3.3124,0.11461
"Com_14265_pos",61,0.43587,0.36064,0.83189
"Com_14288_pos",62,0.39305,0.40555,0.79969
"Com_14290_pos",47,0.85343,0.068833,0.98294
"Com_1430_pos",52,0.9118,0.040102,0.99065
"Com_14310_pos",50,1,0,1
"Com_14322_pos",40,0.48125,0.31763,0.85132
"Com_14333_pos",68,0.19032,0.72052,0.68218
"Com_1434_pos",47,0.85343,0.068833,0.98294
"Com_14359_pos",55,0.73936,0.13114,0.94633
"Com_14361_pos",50,1,0,1
"Com_14374_pos",74,0.075256,1.1235,0.50326
"Com_14378_pos",52,0.9118,0.040102,0.99065
"Com_14379_pos",44,0.68421,0.16481,0.92418
"Com_14388_pos",51,0.97051,0.012999,0.99948
"Com_14397_pos",80,0.023231,1.6339,0.35365
"Com_14401_pos",55,0.73936,0.13114,0.94633
"Com_14403_pos",41,0.52885,0.27667,0.86844
"Com_14418_pos",36,0.315,0.50169,0.76474
"Com_14458_pos",50,1,0,1
"Com_14460_pos",27,0.08921,1.0496,0.52234
"Com_14466_pos",56,0.68421,0.16481,0.92418
"Com_1446_pos",56,0.68421,0.16481,0.92418
"Com_14471_pos",20,0.023231,1.6339,0.35365
"Com_14487_pos",61,0.43587,0.36064,0.83189
"Com_14501_pos",62,0.39305,0.40555,0.79969
"Com_14518_pos",33,0.21756,0.66242,0.70646
"Com_14522_pos",40,0.48125,0.31763,0.85132
"Com_14528_pos",60,0.48125,0.31763,0.85132
"Com_14553_pos",59,0.52885,0.27667,0.86844
"Com_14562_pos",58,0.57874,0.23752,0.88784
"Com_1456_pos",74,0.075256,1.1235,0.50326
"Com_14574_pos",55,0.73936,0.13114,0.94633
"Com_14602_pos",55,0.73936,0.13114,0.94633
"Com_14603_pos",66,0.24745,0.60651,0.71394
"Com_14604_pos",60,0.48125,0.31763,0.85132
"Com_14617_pos",78,0.035463,1.4502,0.41156
"Com_14621_pos",54,0.79594,0.099122,0.97073
"Com_14622_pos",51,0.97051,0.012999,0.99948
"Com_14630_pos",51,0.97051,0.012999,0.99948
"Com_14637_pos",48,0.9118,0.040102,0.99065
"Com_14643_pos",55,0.73936,0.13114,0.94633
"Com_14666_pos",66,0.24745,0.60651,0.71394
"Com_14671_pos",61,0.43587,0.36064,0.83189
"Com_14685_pos",17,0.011496,1.9394,0.28886
"Com_14699_pos",55,0.73936,0.13114,0.94633
"Com_14702_pos",57,0.63053,0.20029,0.91112
"Com_14705_pos",56,0.68421,0.16481,0.92418
"Com_14715_pos",40,0.48125,0.31763,0.85132
"Com_14726_pos",75,0.063013,1.2006,0.4868
"Com_1472_pos",46,0.79594,0.099122,0.97073
"Com_14737_pos",66,0.24745,0.60651,0.71394
"Com_14742_pos",46,0.79594,0.099122,0.97073
"Com_14752_pos",77,0.043257,1.3639,0.4356
"Com_14770_pos",89,0.0020892,2.68,0.1656
"Com_14774_pos",42,0.57874,0.23752,0.88784
"Com_14782_pos",62,0.39305,0.40555,0.79969
"Com_14813_pos",77,0.043257,1.3639,0.4356
"Com_14816_pos",50,1,0,1
"Com_1485_pos",55,0.73936,0.13114,0.94633
"Com_14863_pos",55,0.73936,0.13114,0.94633
"Com_14876_pos",50,1,0,1
"Com_14885_pos",53,0.85343,0.068833,0.98294
"Com_14887_pos",52,0.9118,0.040102,0.99065
"Com_14896_pos",37,0.35268,0.45262,0.793
"Com_14899_pos",71,0.12301,0.91008,0.59614
"Com_14906_pos",74,0.075256,1.1235,0.50326
"Com_14913_pos",64,0.315,0.50169,0.76474
"Com_14921_pos",62,0.39305,0.40555,0.79969
"Com_14939_pos",33,0.21756,0.66242,0.70646
